상품명	급여명	지급사유	지급액
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(2종)(2형)	갱신형 뇌출혈진단비	「뇌출혈」로 진단확정되었을 경우	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(2종)(2형)	갱신형 일반상해80%이상후유장해	상해에서 정한 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때	1억원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(2종)(2형)	갱신형 일반상해사망	상해의 직접결과로써 사망한 경우(질병으로 인한 사망은 제외합니다)	1억원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(2종)(2형)	갱신형 질병80%이상후유장해	진단확정된 질병으로 장해지급률이 80% 이상에 해당하는 장해상태가 되었을 때	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(2종)(2형)	갱신형 질병사망	질병으로 사망하였을 경우	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(2종)(2형)	갱신형 항암방사선약물치료비	「암(유사암제외)」으로 진단확정되거나 보험기간 중에「기타피부암」또는「갑상선암」으로 진단확정되고 그 치료를 직접적인 목적으로 항암방사선치료 또는 항암약물치료를 받은 경우	3000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(1형)	갱신형 뇌출혈진단비	「뇌출혈」로 진단확정되었을 경우	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(1형)	갱신형 일반상해80%이상후유장해	상해에서 정한 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때	1억원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(1형)	갱신형 일반상해사망	상해의 직접결과로써 사망한 경우(질병으로 인한 사망은 제외합니다)	1억원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(1형)	갱신형 질병80%이상후유장해	진단확정된 질병으로 장해지급률이 80% 이상에 해당하는 장해상태가 되었을 때	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(1형)	갱신형 질병사망	질병으로 사망하였을 경우	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(1형)	갱신형 항암방사선약물치료비	「암(유사암제외)」으로 진단확정되거나 보험기간 중에「기타피부암」또는「갑상선암」으로 진단확정되고 그 치료를 직접적인 목적으로 항암방사선치료 또는 항암약물치료를 받은 경우	3000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(2형)	갱신형 뇌출혈진단비	「뇌출혈」로 진단확정되었을 경우	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(2형)	갱신형 일반상해80%이상후유장해	상해에서 정한 장해지급률이 80%이상에 해당하는 장해상태가 되었을 때	1억원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(2형)	갱신형 일반상해사망	상해의 직접결과로써 사망한 경우(질병으로 인한 사망은 제외합니다)	1억원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(2형)	갱신형 질병80%이상후유장해	진단확정된 질병으로 장해지급률이 80% 이상에 해당하는 장해상태가 되었을 때	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(2형)	갱신형 질병사망	질병으로 사망하였을 경우	1000만원
(무) 메리츠 The좋은 케어프리보험 M-Basket2401(3종)(2형)	갱신형 항암방사선약물치료비	「암(유사암제외)」으로 진단확정되거나 보험기간 중에「기타피부암」또는「갑상선암」으로 진단확정되고 그 치료를 직접적인 목적으로 항암방사선치료 또는 항암약물치료를 받은 경우	3000만원
